post-attention projection norm w/ residual conn,post-attention projection norm w/o residual conn,post-mlp projection norm w/ residual conn,post-mlp projection norm w/o residual conn
21.375,2.75,4.59375,3.03125
12.0,2.609375,4.65625,3.765625
13.125,3.078125,8.9375,7.84375
72.5,10.3125,31.125,28.875
0.1865234375,0.1728515625,0.2255859375,0.2197265625
1.1689054672109345e-19,1.1689054672109345e-19,4.404571325722362e-19,4.404571325722362e-19
30.875,8.4375,245.0,245.0
64.5,2.71875,2.75,1.5
121.0,1.3203125,1.90625,1.3359375
18.75,1.796875,3.234375,2.046875
7.6875,0.91796875,1.734375,1.96875
48.0,0.890625,3.078125,3.046875
9.9375,2.4375,3.75,5.28125
19.375,3.890625,4.6875,7.8125
12.5,5.1875,4.28125,8.0625
31.375,2.765625,3.65625,5.5
24.25,3.515625,3.59375,4.375
20.5,3.3125,11.625,12.8125
15.8125,12.75,7.15625,17.25
26.0,1.359375,3.703125,2.859375
23.5,1.5546875,3.8125,4.5625
5.3125,2.046875,3.515625,3.875
12.625,1.7109375,4.21875,4.75
23.75,0.96484375,2.625,2.578125
26.25,1.5078125,4.46875,4.78125
14.1875,1.671875,3.625,3.484375
18.25,1.421875,5.0625,5.3125
27.5,1.2109375,3.484375,3.828125
19.75,0.99609375,4.25,3.828125
37.5,3.6875,8.375,5.3125
6.15625,2.0625,2.984375,3.5
10.875,5.03125,4.90625,3.890625
21.125,6.71875,7.21875,3.390625
18.375,4.21875,5.1875,3.59375
21.125,2.59375,7.65625,8.3125
74.5,9.0,14.625,16.75
81.0,17.125,95.0,99.0
1.0079692072326174e-19,1.0079692072326174e-19,5.624298769768554e-19,5.624298769768554e-19
0.03466796875,0.0311279296875,0.21875,0.2177734375
124.0,4.6875,4.34375,0.859375
115.5,1.796875,1.5703125,1.65625
7.46875,1.65625,2.625,1.7421875
8.5625,0.984375,2.609375,2.359375
44.0,1.2265625,3.40625,3.96875
17.0,1.9140625,4.0625,5.28125
14.75,3.703125,4.0,7.125
5.53125,5.21875,3.53125,7.5625
31.375,3.234375,2.796875,4.84375
18.625,3.53125,3.890625,5.0
18.25,3.15625,10.3125,12.125
12.6875,11.6875,6.84375,15.0625
33.75,1.2265625,2.625,2.25
27.0,1.9609375,3.15625,3.96875
6.9375,2.328125,3.375,3.796875
11.8125,2.265625,4.84375,5.4375
26.375,1.1171875,2.875,2.890625
28.25,1.8125,4.5625,5.3125
13.625,2.546875,6.8125,6.03125
19.375,2.015625,4.53125,5.4375
25.125,1.40625,4.75,5.5625
17.375,0.83984375,4.40625,4.5625
37.25,4.65625,10.0625,5.9375
6.5,3.75,3.78125,3.453125
13.6875,8.3125,7.71875,3.6875
20.75,4.5625,7.78125,4.15625
19.25,6.21875,8.625,4.34375
18.25,2.4375,9.3125,9.3125
72.5,8.375,14.0,18.375
79.5,20.25,83.5,85.5
1.1773757966834775e-19,1.1773757966834775e-19,4.404571325722362e-19,4.404571325722362e-19
31.5,9.5,436.0,436.0
0.291015625,0.2890625,0.380859375,0.380859375
86.5,0.734375,1.328125,1.15625
20.625,0.53515625,1.796875,1.8046875
4.0625,0.6171875,2.0625,2.0
45.5,0.7265625,3.0,2.8125
7.46875,1.8046875,3.609375,4.71875
15.75,3.90625,4.375,7.65625
10.3125,4.875,3.71875,7.5625
29.25,2.8125,3.171875,4.875
26.625,3.390625,4.28125,5.59375
19.75,3.46875,10.5625,12.5
13.625,10.5,6.96875,15.8125
21.375,1.515625,3.96875,3.0625
20.875,1.7890625,3.828125,4.75
6.3125,1.765625,4.84375,4.9375
12.875,1.4453125,5.5,5.625
22.0,1.0859375,3.15625,3.40625
29.75,2.28125,7.125,5.84375
15.875,2.75,3.140625,3.703125
18.875,1.453125,4.71875,5.40625
26.75,2.296875,4.90625,3.3125
17.375,0.8203125,4.59375,4.375
39.5,2.953125,7.4375,5.1875
6.9375,1.640625,4.0,3.875
10.625,6.9375,5.21875,4.625
20.125,5.53125,5.90625,3.21875
20.25,6.71875,7.25,3.15625
23.375,2.921875,10.0,9.8125
75.5,10.3125,15.75,16.875
81.5,18.875,143.0,145.0
1.1604351377383915e-19,1.1604351377383915e-19,4.2690460541616737e-19,4.2690460541616737e-19
30.625,8.625,382.0,382.0
272.0,1.6875,2.125,0.8359375
0.140625,0.130859375,0.17578125,0.171875
60.0,0.83203125,2.21875,1.7265625
9.5,0.60546875,2.03125,2.109375
48.25,0.75390625,3.03125,2.8125
8.4375,1.8828125,3.34375,4.40625
16.875,3.921875,4.21875,7.40625
12.25,5.0,3.71875,7.375
30.0,2.859375,2.96875,5.0
26.125,3.25,4.0625,4.71875
19.125,3.1875,11.0,12.5625
13.75,11.3125,7.0,16.5
